Account_ID,Customer_ID,Account_Type,Balance,Open_Date
500000,100000,Checking,2246,2021-02-03
500001,100000,Savings,116313,2023-05-29
500002,100001,Checking,10892,2025-07-10
500003,100002,Checking,2053,2026-03-11
500004,100002,Savings,39490,2025-10-22
500005,100002,Certificate of Deposit,112539,2025-04-24
500006,100003,Checking,9337,2023-01-01
500007,100003,Savings,293317,2022-05-18
500008,100004,Checking,1234,2026-06-18
500009,100005,Checking,11380,2024-05-02
500010,100005,Savings,60266,2024-07-30
500011,100006,Checking,7514,2022-02-27
500012,100006,Savings,53295,2025-02-28
500013,100007,Checking,7102,2023-03-19
500014,100008,Checking,5632,2026-04-29
500015,100008,Savings,36125,2026-05-31
500016,100009,Checking,6324,2021-08-16
500017,100010,Checking,13132,2026-06-02
500018,100010,Savings,106342,2026-05-31
500019,100011,Checking,2020,2024-06-21
500020,100011,Savings,201413,2020-10-12
500021,100012,Checking,13478,2026-07-05
500022,100012,Savings,84188,2026-06-19
500023,100013,Checking,4927,2021-10-26
500024,100013,Savings,41314,2023-09-24
500025,100014,Checking,2588,2023-05-31
500026,100014,Savings,140563,2018-10-01
500027,100015,Checking,1818,2024-07-30
500028,100015,Savings,99390,2026-05-09
500029,100016,Checking,5236,2022-03-25
500030,100016,Savings,49565,2024-11-30
500031,100017,Checking,7609,2025-10-06
500032,100017,Savings,122365,2025-07-02
500033,100018,Checking,9610,2019-10-14
500034,100018,Savings,190386,2024-11-16
500035,100019,Checking,3920,2025-06-17
500036,100019,Certificate of Deposit,147832,2023-11-19
500037,100020,Checking,11689,2019-11-07
500038,100020,Savings,131459,2021-07-09
500039,100021,Checking,7573,2026-07-05
500040,100021,Savings,189885,2024-04-22
500041,100022,Checking,8991,2026-01-10
500042,100022,Savings,31813,2026-03-08
500043,100022,Certificate of Deposit,157218,2025-12-15
500044,100023,Checking,2632,2022-07-22
500045,100023,Savings,44961,2024-11-05
500046,100024,Checking,6052,2022-02-20
500047,100024,Savings,67618,2023-04-21
500048,100025,Checking,11004,2026-05-26
500049,100025,Savings,54941,2026-07-16
500050,100026,Checking,6674,2026-07-11
500051,100026,Savings,151528,2025-11-17
500052,100026,Certificate of Deposit,143998,2025-01-20
500053,100027,Checking,12034,2025-06-28
500054,100027,Savings,42890,2026-02-20
500055,100028,Checking,5692,2022-04-24
500056,100029,Checking,8607,2025-01-29
500057,100029,Savings,33206,2023-02-12
500058,100030,Checking,1109,2024-04-09
500059,100031,Checking,1236,2026-04-17
500060,100031,Savings,33910,2026-04-22
500061,100032,Checking,11276,2024-07-16
500062,100032,Savings,114260,2026-02-25
500063,100033,Checking,3258,2024-07-20
500064,100033,Savings,170870,2025-11-05
500065,100034,Checking,1266,2026-03-02
500066,100034,Savings,132554,2024-04-21
500067,100035,Checking,1653,2022-07-22
500068,100036,Checking,2871,2026-05-07
500069,100036,Certificate of Deposit,365062,2024-04-18
500070,100037,Checking,13250,2023-05-21
500071,100037,Savings,36644,2021-05-01
500072,100038,Checking,7758,2026-02-14
500073,100038,Savings,109075,2025-05-30
500074,100039,Checking,545,2026-02-19
500075,100040,Checking,13139,2022-11-07
500076,100040,Savings,196197,2019-11-23
500077,100040,Certificate of Deposit,334439,2018-08-25
500078,100041,Checking,2838,2026-03-15
500079,100041,Savings,30496,2026-04-23
500080,100042,Checking,5938,2025-04-12
500081,100042,Savings,128741,2024-02-20
500082,100042,Certificate of Deposit,94375,2020-08-14
500083,100043,Checking,9053,2023-04-03
500084,100044,Checking,2803,2025-06-12
500085,100044,Savings,12684,2025-05-01
500086,100044,Certificate of Deposit,147708,2026-01-03
500087,100045,Checking,1430,2021-08-20
500088,100046,Checking,13195,2025-07-01
500089,100046,Savings,113106,2024-03-30
500090,100047,Checking,10089,2025-03-12
500091,100048,Checking,2460,2022-09-16
500092,100049,Checking,9475,2025-11-05
500093,100049,Savings,38389,2025-02-19
500094,100050,Checking,2290,2023-04-19
500095,100050,Savings,38247,2023-08-05
500096,100051,Checking,11746,2026-06-24
500097,100051,Savings,63342,2025-04-18
500098,100052,Checking,14795,2025-03-31
500099,100053,Checking,5072,2024-11-06
500100,100053,Savings,155402,2025-02-21
500101,100054,Checking,8362,2023-11-23
500102,100055,Checking,4812,2025-07-20
500103,100055,Savings,122574,2019-11-29
500104,100056,Checking,8625,2024-08-15
500105,100056,Savings,106899,2026-05-29
500106,100056,Certificate of Deposit,160277,2024-09-06
500107,100057,Checking,5846,2025-10-02
500108,100057,Savings,234841,2025-11-09
500109,100058,Checking,6055,2023-05-08
500110,100058,Savings,177670,2025-11-09
500111,100058,Certificate of Deposit,144785,2025-06-25
500112,100059,Checking,6102,2023-08-18
500113,100060,Checking,9315,2025-12-05
500114,100060,Savings,142894,2025-12-28
500115,100061,Checking,7265,2019-03-14
500116,100061,Savings,47839,2024-02-22
500117,100062,Checking,7341,2025-10-01
500118,100062,Savings,56145,2026-01-02
500119,100063,Checking,5674,2022-05-01
500120,100063,Savings,58116,2024-03-30
500121,100064,Checking,2565,2024-05-30
500122,100064,Savings,61432,2023-11-19
500123,100065,Checking,13983,2026-02-20
500124,100065,Savings,67514,2026-06-12
500125,100066,Checking,11919,2020-09-24
500126,100066,Savings,36873,2024-09-22
500127,100067,Checking,12978,2023-11-07
500128,100067,Savings,54849,2026-07-01
500129,100068,Checking,11706,2025-06-15
500130,100068,Savings,86534,2026-04-18
500131,100069,Checking,12046,2021-07-27
500132,100069,Certificate of Deposit,162511,2023-05-29
500133,100070,Checking,7133,2023-05-18
500134,100070,Savings,138838,2024-08-09
500135,100071,Checking,2095,2025-04-25
500136,100072,Checking,7244,2026-02-01
500137,100072,Savings,27572,2026-07-05
500138,100073,Checking,3580,2019-12-21
500139,100073,Savings,101391,2024-11-17
500140,100074,Checking,10897,2024-01-04
500141,100074,Savings,50965,2020-08-01
500142,100075,Checking,733,2025-10-31
500143,100076,Checking,3656,2026-03-23
500144,100076,Savings,39193,2025-12-31
500145,100077,Checking,11242,2024-10-28
500146,100077,Savings,23523,2024-04-13
500147,100078,Checking,10076,2023-10-11
500148,100078,Savings,254919,2024-08-16
500149,100079,Checking,13131,2019-12-12
500150,100079,Savings,147143,2021-04-26
500151,100079,Certificate of Deposit,331196,2024-09-06
500152,100080,Checking,14834,2026-06-29
500153,100080,Savings,267721,2018-12-04
500154,100081,Checking,10061,2020-05-03
500155,100081,Savings,62048,2026-05-08
500156,100082,Checking,2843,2025-12-22
500157,100082,Savings,37208,2025-10-09
500158,100083,Checking,12406,2023-09-04
500159,100083,Savings,26774,2017-09-11
500160,100084,Checking,13239,2022-03-13
500161,100085,Checking,10086,2020-03-30
500162,100085,Savings,38910,2023-02-17
