Credit_ID,Customer_ID,Credit_Score,Credit_Rating,Risk_Category,Credit_Check_Date
800000,100000,787,Excellent,Low,2026-01-01
800001,100001,543,Poor,High,2026-01-01
800002,100002,603,Poor,Medium,2026-01-01
800003,100003,769,Excellent,Low,2026-01-01
800004,100004,818,Excellent,Low,2026-01-01
800005,100005,775,Excellent,Low,2026-01-01
800006,100006,584,Poor,High,2026-01-01
800007,100007,703,Good,Low,2026-01-01
800008,100008,739,Good,Low,2026-01-01
800009,100009,615,Poor,Medium,2026-01-01
800010,100010,681,Fair,Medium,2026-01-01
800011,100011,650,Fair,Medium,2026-01-01
800012,100012,700,Good,Low,2026-01-01
800013,100013,723,Good,Low,2026-01-01
800014,100014,729,Good,Low,2026-01-01
800015,100015,610,Poor,Medium,2026-01-01
800016,100016,613,Poor,Medium,2026-01-01
800017,100017,574,Poor,High,2026-01-01
800018,100018,705,Good,Low,2026-01-01
800019,100019,659,Fair,Medium,2026-01-01
800020,100020,808,Excellent,Low,2026-01-01
800021,100021,648,Poor,Medium,2026-01-01
800022,100022,596,Poor,High,2026-01-01
800023,100023,685,Fair,Medium,2026-01-01
800024,100024,573,Poor,High,2026-01-01
800025,100025,609,Poor,Medium,2026-01-01
800026,100026,700,Good,Low,2026-01-01
800027,100027,526,Poor,High,2026-01-01
800028,100028,688,Fair,Medium,2026-01-01
800029,100029,759,Excellent,Low,2026-01-01
800030,100030,756,Excellent,Low,2026-01-01
800031,100031,798,Excellent,Low,2026-01-01
800032,100032,778,Excellent,Low,2026-01-01
800033,100033,746,Good,Low,2026-01-01
800034,100034,773,Excellent,Low,2026-01-01
800035,100035,554,Poor,High,2026-01-01
800036,100036,706,Good,Low,2026-01-01
800037,100037,768,Excellent,Low,2026-01-01
800038,100038,644,Poor,Medium,2026-01-01
800039,100039,792,Excellent,Low,2026-01-01
800040,100040,595,Poor,High,2026-01-01
800041,100041,646,Poor,Medium,2026-01-01
800042,100042,756,Excellent,Low,2026-01-01
800043,100043,695,Fair,Medium,2026-01-01
800044,100044,599,Poor,High,2026-01-01
800045,100045,661,Fair,Medium,2026-01-01
800046,100046,592,Poor,High,2026-01-01
800047,100047,790,Excellent,Low,2026-01-01
800048,100048,583,Poor,High,2026-01-01
800049,100049,564,Poor,High,2026-01-01
800050,100050,620,Poor,Medium,2026-01-01
800051,100051,670,Fair,Medium,2026-01-01
800052,100052,671,Fair,Medium,2026-01-01
800053,100053,675,Fair,Medium,2026-01-01
800054,100054,600,Poor,Medium,2026-01-01
800055,100055,713,Good,Low,2026-01-01
800056,100056,757,Excellent,Low,2026-01-01
800057,100057,767,Excellent,Low,2026-01-01
800058,100058,671,Fair,Medium,2026-01-01
800059,100059,588,Poor,High,2026-01-01
800060,100060,614,Poor,Medium,2026-01-01
800061,100061,603,Poor,Medium,2026-01-01
800062,100062,693,Fair,Medium,2026-01-01
800063,100063,801,Excellent,Low,2026-01-01
800064,100064,668,Fair,Medium,2026-01-01
800065,100065,663,Fair,Medium,2026-01-01
800066,100066,688,Fair,Medium,2026-01-01
800067,100067,682,Fair,Medium,2026-01-01
