Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Years,Loan_Status,Default_Flag,Loan_Start_Date
700000,133553,Auto Loan,42765,7.73,6,Paid Off,0,2025-11-29
700001,109427,Auto Loan,14620,9.2,5,Paid Off,0,2022-01-07
700002,100199,Personal Loan,23784,5.32,5,Active,0,2021-09-13
700003,112447,Personal Loan,22981,7.27,1,Active,0,2025-09-18
700004,139489,Personal Loan,18462,6.1,1,Defaulted,1,2025-09-20
700005,142724,Auto Loan,53349,6.37,3,Active,0,2023-03-06
700006,110822,Business Loan,160182,3.74,5,Paid Off,0,2023-10-24
700007,149498,Auto Loan,50771,6.28,5,Paid Off,0,2022-05-21
700008,104144,Personal Loan,20577,11.54,3,Active,0,2026-06-30
700009,136958,Mortgage,285977,5.99,30,Paid Off,0,2023-11-21
700010,143106,Business Loan,240151,10.36,5,Active,0,2022-05-31
700011,138695,Business Loan,60235,5.18,5,Paid Off,0,2021-11-09
700012,106188,Business Loan,122219,11.82,10,Active,0,2021-10-14
700013,101414,Business Loan,217325,4.92,10,Paid Off,0,2024-02-21
700014,118471,Auto Loan,24876,3.91,3,Paid Off,0,2022-11-30
700015,129282,Business Loan,190269,6.68,10,Paid Off,0,2021-09-22
700016,115177,Personal Loan,21092,6.72,3,Active,0,2025-05-06
700017,134304,Mortgage,549198,3.86,30,Defaulted,1,2022-12-16
700018,112609,Mortgage,346069,6.01,30,Active,0,2021-12-26
700019,112144,Business Loan,166758,10.48,5,Active,0,2022-12-27
700020,106113,Mortgage,408743,7.68,30,Active,0,2023-02-08
700021,115908,Auto Loan,48733,4.27,5,Active,0,2025-09-11
700022,100821,Business Loan,218531,4.44,10,Paid Off,0,2025-09-24
700023,115118,Personal Loan,19496,5.59,5,Paid Off,0,2023-07-23
700024,113466,Mortgage,437799,8.92,30,Paid Off,0,2021-08-12
700025,126497,Mortgage,521299,4.54,30,Paid Off,0,2023-06-08
700026,142111,Mortgage,440415,8.33,30,Active,0,2023-04-30
700027,130188,Mortgage,297173,11.54,30,Active,0,2026-07-09
700028,137237,Business Loan,199950,6.22,10,Paid Off,0,2021-11-08
700029,133109,Business Loan,199241,6.23,5,Active,0,2024-05-26
700030,136480,Mortgage,494858,11.01,30,Active,0,2024-12-31
700031,124148,Auto Loan,25358,8.18,5,Active,0,2025-02-28
700032,105503,Mortgage,308998,3.87,30,Paid Off,0,2023-04-07
